Regione,Provincia,Lon,Lat,media_yy
Abruzzo,Pescara,14.23472,42.45639,52.0
Abruzzo,Chieti,14.44111,42.14167,64.0
Abruzzo,Chieti,14.13888889,42.36166667,35.0
Abruzzo,Chieti,14.72805556,42.04416667,47.0
Puglia,Foggia,15.90944,41.62833,45.0
Puglia,Bari,16.888056,41.113611,53.0
Puglia,Bari,16.56194444,41.20444444,59.0
Puglia,Taranto,17.42389,40.53778,79.0
Puglia,Taranto,17.63277778,40.3925,59.0
Puglia,Taranto,17.33194,40.70083,59.0
Puglia,Taranto,17.22583,40.48861,73.0
Puglia,Brindisi,17.94777,40.63416667,52.0
Puglia,Lecce,18.11611,40.45889,81.0
Basilicata,Potenza,15.78805556,41.05,65.0
Basilicata,Potenza,15.639965,40.9841,66.0
Basilicata,Potenza,15.811729,40.62541,63.0
Calabria,Crotone,17.0,39.0,42.0
Sicilia,Palermo,13.302198,38.120539,79.0
Sicilia,Palermo,13.354215,38.124382,35.0
Sicilia,Caltanissetta,14.06333,37.49,40.0
Sicilia,Catania,15.08694,37.52583,45.0
Sicilia,Catania,15.04667,37.48417,44.0
Sicilia,Siracusa,15.128831,37.182374,96.0
Sicilia,Siracusa,15.27167,37.08,79.0
Sicilia,Siracusa,15.262506,37.098447,42.0
Sicilia,Siracusa,15.15157,37.12257,75.0
Sicilia,Siracusa,15.190867,37.156119,69.0
Sardegna,Nuoro,9.32889,40.31889,68.0
Sardegna,Nuoro,9.0325,40.23722,63.0
Sardegna,Nuoro,9.011388889,40.23944444,71.0
Sardegna,Cagliari,9.003055556,39.23722222,71.0
Sardegna,Cagliari,9.013611111,39.22888889,76.0
Sardegna,Cagliari,8.995833,39.226944,75.0
Sardegna,Cagliari,9.126111111,39.21722222,20.0
Sardegna,Cagliari,9.098055556,39.23444444,41.0
Sardegna,Cagliari,9.103333333,39.23055556,67.0
Sardegna,Cagliari,9.121666667,39.23277778,47.0
Sardegna,Cagliari,9.139166667,39.20555556,39.0
Sardegna,Cagliari,9.131111111,39.24833333,24.0
Sardegna,Cagliari,9.105833333,39.21555556,45.0
Sardegna,Cagliari,9.016667,39.07,72.0
Sardegna,Cagliari,9.012222,39.081667,84.0
Sardegna,Cagliari,9.02,39.07,74.0
Sardegna,Oristano,8.59472,39.90917,63.0
Sardegna,Sud Sardegna,8.522222222,39.15916667,63.0
Sardegna,Sud Sardegna,8.386111,39.203333,59.0
Sardegna,Sud Sardegna,8.798611111,39.55833333,60.0
Sardegna,Sud Sardegna,8.739166667,39.45777778,66.0
